part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBA142144EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,144,E,7/16 in,Copper,-,-
EGBA144144LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,144,L,7/16 in,Copper,-,-
EGBA142120EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,120,E,7/16 in,Copper,-,-
EGBA142120JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,120,J,7/16 in,Copper,-,-
EGBA143120DGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,120,D,1/2 in,Tinned Copper,-,-
EGBA144120CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,120,C,7/16 in,Tinned Copper,-,-
EGBA144120NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,120,N,No Hole Pattern,Copper,-,-
EGBA146120NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,120,N,No Hole Pattern,Copper,-,-
EGBA384120BB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,120,B,7/16 in,Copper,-,-
EGBA384120CB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,120,C,9/16 in,Copper,-,-
EGBA14296BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,96,B,7/16 in,Copper,-,-
EGBA14296BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,96,B,3/8 in,Copper,-,-
EGBA14296NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,96,N,No Hole Pattern,Copper,-,-
EGBA14396EC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,96,E,3/8 in,Copper,-,-
EGBA14396NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,96,N,No Hole Pattern,Copper,-,-
EGBA14496CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,96,C,7/16 in,Copper,-,-
EGBA14496EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,96,E,7/16 in,Copper,-,-
EGBA14496NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,96,N,No Hole Pattern,Copper,-,-
EGBC14296NN,(C) Busbar Only,14 - 1/4,2,96,N,No Hole Pattern,Copper,-,-
EGBA14384CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,84,C,7/16 in,Tinned Copper,-,-
EGBD14284NN,(D) Busbar and Insulators,14 - 1/4,2,84,N,No Hole Pattern,Copper,-,-
EGBA14480GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,80,G,7/16 in,Copper,-,-
EGBA14172NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,72,N,No Hole Pattern,Copper,-,-
EGBA14272NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,72,N,No Hole Pattern,Copper,-,-
EGBA14372GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,72,G,7/16 in,Copper,-,-
EGBA14472BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,72,B,7/16 in,Copper,-,-
EGBA14472CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,72,C,9/16 in,Copper,-,-
EGBA14472CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,72,C,7/16 in,Copper,-,-
EGBA14270EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,70,E,7/16 in,Copper,-,-
EGBA12460NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,60,N,No Hole Pattern,Copper,-,-
EGBA14260BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,60,B,7/16 in,Copper,-,-
EGBA14260JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,60,J,7/16 in,Copper,-,-
EGBA14260NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,60,N,No Hole Pattern,Copper,-,-
EGBA14360DGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,60,D,1/2 in,Tinned Copper,-,-
EGBA14460CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,60,C,7/16 in,Copper,-,-
EGBA14460CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,60,C,7/16 in,Tinned Copper,-,-
EGBA14460GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,60,G,7/16 in,Copper,-,-
EGBA14660CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,60,C,7/16 in,Copper,-,-
EGBA38460BB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,60,B,7/16 in,Copper,-,-
EGBA38460NN,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,60,N,No Hole Pattern,Copper,-,-
EGBA14256JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,56,J,7/16 in,Copper,-,-
